# Descriptor 1, Descriptor 2, RegionID
-1.0000e+02,5.5879e+00,4.0000e+00
-1.0000e+02,5.5913e+00,4.0000e+00
-1.0000e+02,5.5946e+00,4.0000e+00
-1.0000e+02,5.5980e+00,4.0000e+00
-1.0000e+02,5.6013e+00,4.0000e+00
-1.0000e+02,5.6047e+00,4.0000e+00
-1.0000e+02,5.6080e+00,4.0000e+00
-1.0000e+02,5.6114e+00,4.0000e+00
-1.0000e+02,5.6147e+00,4.0000e+00
-1.0000e+02,5.6181e+00,4.0000e+00
-1.0000e+02,5.6214e+00,4.0000e+00
-1.0000e+02,5.6248e+00,4.0000e+00
-1.0000e+02,5.6281e+00,4.0000e+00
-1.0000e+02,5.6315e+00,4.0000e+00
-1.0000e+02,5.6348e+00,4.0000e+00
-1.0000e+02,5.6382e+00,4.0000e+00
-1.0000e+02,5.6415e+00,4.0000e+00
-1.0000e+02,5.6449e+00,4.0000e+00
-1.0000e+02,5.6482e+00,4.0000e+00
-1.0000e+02,5.6516e+00,4.0000e+00
-1.0000e+02,5.6549e+00,4.0000e+00
-1.0000e+02,5.6583e+00,4.0000e+00
-1.0000e+02,5.6616e+00,4.0000e+00
-1.0000e+02,5.6650e+00,4.0000e+00
-1.0000e+02,5.6683e+00,4.0000e+00
-1.0000e+02,5.6717e+00,4.0000e+00
-1.0000e+02,5.6750e+00,4.0000e+00
-1.0000e+02,5.6784e+00,4.0000e+00
-1.0000e+02,5.6817e+00,4.0000e+00
-1.0000e+02,5.6851e+00,4.0000e+00
-1.0000e+02,5.6884e+00,4.0000e+00
-1.0000e+02,5.6918e+00,4.0000e+00
-1.0000e+02,5.6951e+00,4.0000e+00
-1.0000e+02,5.6985e+00,4.0000e+00
-1.0000e+02,5.7018e+00,4.0000e+00
-1.0000e+02,5.7052e+00,4.0000e+00
-1.0000e+02,5.7085e+00,4.0000e+00
-1.0000e+02,5.7119e+00,4.0000e+00
-1.0000e+02,5.7152e+00,4.0000e+00
-1.0000e+02,5.7186e+00,4.0000e+00
-1.0000e+02,5.7219e+00,4.0000e+00
-1.0000e+02,5.7253e+00,4.0000e+00
-1.0000e+02,5.7286e+00,4.0000e+00
-1.0000e+02,5.7320e+00,4.0000e+00
-1.0000e+02,5.7353e+00,4.0000e+00
-1.0000e+02,5.7387e+00,4.0000e+00
-1.0000e+02,5.7420e+00,4.0000e+00
-1.0000e+02,5.7454e+00,4.0000e+00
-1.0000e+02,5.7487e+00,4.0000e+00
-1.0000e+02,5.7521e+00,4.0000e+00
-1.0000e+02,5.7554e+00,4.0000e+00
-1.0000e+02,5.7588e+00,4.0000e+00
-1.0000e+02,5.7621e+00,4.0000e+00
-1.0000e+02,5.7655e+00,4.0000e+00
-1.0000e+02,5.7688e+00,4.0000e+00
-1.0000e+02,5.7722e+00,4.0000e+00
-1.0000e+02,5.7755e+00,4.0000e+00
-1.0000e+02,5.7789e+00,4.0000e+00
-1.0000e+02,5.7822e+00,4.0000e+00
-1.0000e+02,5.7856e+00,4.0000e+00
-1.0000e+02,5.7889e+00,4.0000e+00
-1.0000e+02,5.7923e+00,4.0000e+00
-1.0000e+02,5.7956e+00,4.0000e+00
-1.0000e+02,5.7990e+00,4.0000e+00
-1.0000e+02,5.8023e+00,4.0000e+00
-1.0000e+02,5.8057e+00,4.0000e+00
-1.0000e+02,5.8090e+00,4.0000e+00
-1.0000e+02,5.8124e+00,4.0000e+00
-1.0000e+02,5.8157e+00,4.0000e+00
-1.0000e+02,5.8191e+00,4.0000e+00
-1.0000e+02,5.8224e+00,4.0000e+00
-1.0000e+02,5.8258e+00,4.0000e+00
-1.0000e+02,5.8291e+00,4.0000e+00
-1.0000e+02,5.8325e+00,4.0000e+00
-1.0000e+02,5.8358e+00,4.0000e+00
